,Dataset,overlapping.F1.mean,overlapping.F1.sd,overlapping.F1v.mean,overlapping.F1v.sd,overlapping.F2.mean,overlapping.F2.sd,overlapping.F3.mean,overlapping.F3.sd,overlapping.F4.mean,overlapping.F4.sd,neighborhood.N1,neighborhood.N2.mean,neighborhood.N2.sd,neighborhood.N3.mean,neighborhood.N3.sd,neighborhood.N4.mean,neighborhood.N4.sd,neighborhood.T1.mean,neighborhood.T1.sd,neighborhood.LSC,linearity.L1.mean,linearity.L1.sd,linearity.L2.mean,linearity.L2.sd,linearity.L3.mean,linearity.L3.sd,dimensionality.T2,dimensionality.T3,dimensionality.T4,balance.C1,balance.C2,network.Density,network.ClsCoef,network.Hubs.mean,network.Hubs.sd
0,ecoli1,0.882920077141968,0.18956767070856873,0.12544230728351993,,0.0,,0.6160714285714286,,0.4880952380952381,,0.18452380952380953,0.30666673040083875,0.14516639752168625,0.11904761904761904,0.3243275258042619,0.07142857142857142,0.25792347751971617,0.011494252873563218,0.046263434629462676,0.8611465419501134,0.055967220566408904,,0.0892857142857143,,0.04166666666666663,,0.020833333333333332,0.01488095238095238,0.7142857142857143,0.7765557854444601,0.4536912751677853,0.8400319829424308,0.3665708951765594,0.8951095381621456,0.15850477137988317
1,ecoli2,0.9183976245303641,0.11853290637177528,0.1328726454661866,,0.0,,0.7857142857142857,,0.4166666666666667,,0.09821428571428571,0.3072263235726318,0.11431691893790766,0.06547619047619048,0.2477331484970273,0.03571428571428571,0.18585364625199022,0.01694915254237288,0.043626408253483344,0.9084024234693877,0.055321818632163344,,0.08333333333333337,,0.0535714285714286,,0.020833333333333332,0.01488095238095238,0.7142857142857143,0.6216297820565386,0.6456813819577736,0.8337953091684435,0.36579068744135246,0.8043890555304024,0.21704376780683146
2,ecoli3,0.9276672713806108,0.07951841160614544,0.1569880619083603,,0.0,,0.46130952380952384,,0.23809523809523808,,0.13988095238095238,0.25531179322429814,0.15537739988051139,0.09821428571428571,0.2980480206296954,0.047619047619047616,0.21327646718989113,0.01639344262295082,0.07668263766983353,0.72703195861678,0.04717143697510473,,0.06845238095238093,,0.06547619047619047,,0.020833333333333332,0.01488095238095238,0.7142857142857143,0.48206614808309317,0.7705442902881536,0.8311300639658848,0.38722723365473244,0.8857778672699865,0.1565043744228652
3,glass-0-1-2-3_vs_4-5-6,0.8396689096744676,0.20359458124484742,0.06499084620144205,,0.007184653323780444,,0.383177570093458,,0.0,,0.09813084112149532,0.22351586519085023,0.13349832449893403,0.04672897196261682,0.21155261368879985,0.004672897196261682,0.06835859270246632,0.03125,0.0996051693659778,0.7092977552624684,0.034805543916214265,,0.05607476635514019,,0.03738317757009346,,0.04205607476635514,0.02336448598130841,0.5555555555555556,0.7922315584562315,0.43003085361672955,0.8120749418630161,0.42788412977720125,0.8719233744670926,0.2522794903148607
4,glass0,0.9530977916584851,0.06952726090111076,0.3781234400336303,,6.278777121314481e-05,,0.7102803738317758,,0.5327102803738317,,0.3317757009345794,0.3522794964976622,0.15623352364798082,0.18691588785046728,0.39075804796172864,0.08411214953271028,0.2782067096224063,0.010416666666666666,0.023686702590019645,0.9442527731679623,0.12355002061351994,,0.22429906542056077,,0.21028037383177567,,0.04205607476635514,0.02336448598130841,0.5555555555555556,0.9119388957757234,0.2136058667498829,0.8577069896011583,0.388661606989237,0.8386986753817481,0.22005756810012173
5,glass1,0.9821128985083241,0.024309713230339,0.5907449331913723,,0.008188072304346183,,0.897196261682243,,0.6542056074766355,,0.3177570093457944,0.35348800818357917,0.15365189281125147,0.17289719626168223,0.379045030203114,0.17289719626168223,0.379045030203114,0.009900990099009901,0.017944011982764303,0.9571359944099922,0.20205319214014938,,0.3457943925233645,,0.3598130841121495,,0.04205607476635514,0.02336448598130841,0.5555555555555556,0.9385750889380636,0.1548751007252216,0.8632354876925102,0.3708173780548928,0.8498539820222833,0.2462460057844963
6,glass6,0.8394017266178327,0.18079603623835133,0.045367383341515105,,0.013947125692855233,,0.383177570093458,,0.0,,0.07476635514018691,0.2118418957611409,0.11681066654051642,0.028037383177570093,0.16546669949837445,0.014018691588785047,0.11784337351691905,0.043478260869565216,0.11595630311931454,0.6912394095554197,0.02810351160585778,,0.032710280373831724,,0.009345794392523366,,0.04205607476635514,0.02336448598130841,0.5555555555555556,0.5723687665216266,0.6940055894598757,0.804615857136589,0.46037462566792586,0.8189768111963114,0.2175636297800132
7,haberman,0.9710414601069647,0.04619647426023505,0.6654076870041241,,0.7177068214804064,,0.9705882352941176,,0.9673202614379085,,0.5098039215686274,0.39866398845524326,0.2608820867381235,0.3366013071895425,0.473321245222115,0.2222222222222222,0.41642069242332835,0.0063009953436712375,0.009387323013793006,0.9858281003033021,0.1723929674639354,,0.2679738562091504,,0.2647058823529411,,0.00980392156862745,0.00980392156862745,1.0,0.833764907210665,0.3626062322946175,0.8819672131147541,0.4093251611329669,0.8221696808666176,0.1600447086263695
8,iris0,0.37288667622793903,0.23301686754479184,0.02243811015225484,,0.0,,0.0,,0.0,,0.013333333333333334,0.07402720929015759,0.04185862669106928,0.0,0.0,0.0,0.0,0.33666666666666667,0.4666904755831213,0.48177777777777775,0.0,,0.0,,0.0,,0.02666666666666667,0.013333333333333334,0.5,0.9182958340544894,0.19999999999999996,0.8160178970917226,0.3152797450424929,0.7995401993441349,0.2679971200088844
9,new-thyroid1,0.7326435186399509,0.24310093750287126,0.07084011989082405,,1.1174184716701013e-05,,0.19069767441860463,,0.018604651162790697,,0.05116279069767442,0.19446521102195302,0.08745703196859031,0.013953488372093023,0.1175716034538484,0.004651162790697674,0.06819943394704735,0.1,0.2522252387439281,0.5447917793401839,0.0018357292498476507,,0.009302325581395321,,0.0,,0.023255813953488372,0.013953488372093023,0.6,0.6409441847875287,0.625278810408922,0.8087372310367311,0.42341068329369413,0.8756791411699002,0.2069861554854957
