,overlapping.F1.mean,overlapping.F1.sd,overlapping.F1v.mean,overlapping.F1v.sd,overlapping.F2.mean,overlapping.F2.sd,overlapping.F3.mean,overlapping.F3.sd,overlapping.F4.mean,overlapping.F4.sd,neighborhood.N1,neighborhood.N2.mean,neighborhood.N2.sd,neighborhood.N3.mean,neighborhood.N3.sd,neighborhood.N4.mean,neighborhood.N4.sd,neighborhood.T1.mean,neighborhood.T1.sd,neighborhood.LSC,linearity.L1.mean,linearity.L1.sd,linearity.L2.mean,linearity.L2.sd,linearity.L3.mean,linearity.L3.sd,dimensionality.T2,dimensionality.T3,dimensionality.T4,balance.C1,balance.C2,network.Density,network.ClsCoef,network.Hubs.mean,network.Hubs.sd
shuttle-2_vs_5,0.9260980609845533,0.169095315681696,0.0070559791441731825,,0.0,,0.0,,0.0,,0.0006031363088057901,0.003516244348052125,0.019878313161254418,0.0,0.0,0.0,0.0,0.11111111111111112,0.32634133806935056,0.33119458821577874,0.0,,0.0,,0.0,,0.0027141133896260556,0.0006031363088057901,0.2222222222222222,0.11101102729014203,0.970009807328613,0.8253601078549635,0.21083606212810946,0.9750505740348031,0.05534519071364254
poker-8-9_vs_6,0.9995565926596466,0.0007416822588876911,0.8333366349379686,,1.0,,1.0,,1.0,,0.00808080808080808,0.2726245004151101,0.06953640688185028,0.00202020202020202,0.044916359780929956,0.014814814814814815,0.12085185645634408,0.007633587786259542,0.017371129243534046,0.9343250688705234,0.01655636839870034,,0.01683501683501687,,0.012794612794612803,,0.006734006734006734,0.0047138047138047135,0.7,0.12328069767820073,0.9657634630491623,0.8247715247715248,0.5992353588432864,0.4171103510788773,0.10536366423807617
shuttle-6_vs_2-3,0.8961379989779857,0.27573187218191153,0.008485533285785607,,0.0,,0.0,,0.0,,0.017391304347826087,0.04271280203383954,0.08428575320812728,0.008695652173913044,0.09304665439271644,0.004347826086956522,0.0659380473395787,0.1,0.17330812671161447,0.6460113421550094,0.0,,0.0,,0.0,,0.0391304347826087,0.004347826086956522,0.1111111111111111,0.2580186686648155,0.9092783505154639,0.8230112018226694,0.2681284997345461,0.7808565470657383,0.2841264807015324
winequality-white-3-9_vs_5,0.9962254063404286,0.005585932136663104,0.22902359878264578,,0.005786918719310713,,0.752361673414305,,0.6093117408906883,,0.037786774628879895,0.18413693079458984,0.16943245752335143,0.021592442645074223,0.1453976406028708,0.010796221322537112,0.10337733815387601,0.007352941176470588,0.0256217197870115,0.912220146025814,0.016588082198793375,,0.01686909581646423,,0.012145748987854255,,0.007422402159244264,0.001349527665317139,0.18181818181818182,0.1234806190316348,0.965693010604321,0.8004968011364827,0.4946764005295373,0.45553063958555196,0.13034236212931746
poker-8_vs_6,0.9998558467663594,0.00011343852689197372,0.8213955248522297,,0.5835262345679012,,0.8300609343263372,,0.6648612051455653,,0.009478672985781991,0.2705485844209115,0.06892982965656638,0.002708192281651997,0.0519873814092899,0.018957345971563982,0.1364205455661718,0.008064516129032258,0.018718563155130315,0.92978090137697,0.011378787892556752,,0.011509817197021044,,0.012186865267433955,,0.006770480704129994,0.004739336492890996,0.7,0.09064385836016513,0.9767154856561482,0.8232849491663502,0.599561509525468,0.4093651644835566,0.09693899395868295
winequality-red-3_vs_5,0.9931935364568428,0.013272873488207663,0.14944240012804924,,0.00011964580393539839,,0.5224312590448625,,0.12156295224312591,,0.030390738060781478,0.19243106434537124,0.15605481827774054,0.02170767004341534,0.14583286517199606,0.005788712011577424,0.07591800641800078,0.02040816326530612,0.07507228328532287,0.7912628984189947,0.014260572934472804,,0.01447178002894356,,0.01157742402315487,,0.015918958031837915,0.001447178002894356,0.09090909090909091,0.10915801647350587,0.9706377557069898,0.7992910925145242,0.4940472878880475,0.595872588307792,0.179713077878971
winequality-white-9_vs_4,0.9811391661637293,0.031179818768514087,0.10430215550237389,,6.422960479109536e-07,,0.19047619047619047,,0.0,,0.06547619047619048,0.2622378915668705,0.14435100055871614,0.041666666666666664,0.2004237028862672,0.011904761904761904,0.10878178112777981,0.045454545454545456,0.11679480466240114,0.7057468820861679,0.0013202660720991188,,0.005952380952380931,,0.0,,0.06547619047619048,0.011904761904761904,0.18181818181818182,0.1931964131710076,0.9387079792434384,0.8098089535215284,0.5179248000354508,0.4139567316947104,0.19813023951153066
dermatology-6,0.9092647077005748,0.2291710570051336,0.0041474267305830525,,0.0,,0.011173184357541888,,0.0,,0.00558659217877095,0.22691086328673243,0.07530909542513599,0.0,0.0,0.0,0.0,0.06666666666666667,0.13733437487516215,0.6469601448144564,0.0,,0.0,,0.0,,0.09497206703910614,0.008379888268156424,0.08823529411764706,0.310810717596308,0.8820697114545899,0.8225904887094503,0.33909557116930467,0.7335543885882075,0.32594021135445433
winequality-white-3_vs_7,0.9845951151960204,0.013505779678373618,0.14172840985166724,,0.0017722838034033123,,0.6455555555555555,,0.3333333333333333,,0.04111111111111111,0.1881838742221814,0.16878606791372275,0.021111111111111112,0.1438346941153093,0.011111111111111112,0.10488029560352641,0.011363636363636364,0.041389834654601734,0.8570753086419753,0.021411274483505438,,0.01777777777777778,,0.026666666666666616,,0.012222222222222223,0.0022222222222222222,0.18181818181818182,0.15374218032876188,0.9545689210118741,0.8063576813743666,0.49685720213493023,0.4675082892091751,0.15416037177556519
winequality-red-8_vs_6,0.9910528392058389,0.013940528723408929,0.23671376236003525,,0.00045723237972754375,,0.5472560975609756,,0.17835365853658536,,0.0625,0.21845285680861884,0.176144712070209,0.03048780487804878,0.17205646109707828,0.027439024390243903,0.16348353588452347,0.010752688172043012,0.05265523666122238,0.8178702223378941,0.026706032501036092,,0.027439024390243927,,0.03201219512195119,,0.01676829268292683,0.003048780487804878,0.18181818181818182,0.18138142899621135,0.9436185463757585,0.8087088065537144,0.4826777658575302,0.6220137529175523,0.12454050325765406
poker-9_vs_7,0.9874190804392231,0.01217605028524278,0.16890177676828272,,0.9166666666666666,,0.8975409836065573,,0.8975409836065574,,0.03278688524590164,0.2407815702406136,0.07968732508790605,0.012295081967213115,0.11042593842457481,0.0,0.0,0.034482758620689655,0.09099519174149556,0.6223293469497446,0.03679682251859406,,0.016393442622950838,,0.008196721311475419,,0.040983606557377046,0.028688524590163935,0.7,0.20818094555717104,0.9322812051649928,0.8316467651622479,0.5591040067506341,0.2856034306505419,0.15282817105458843
winequality-red-8_vs_6-7,0.9951494132342852,0.007740340497261479,0.3137508378252808,,0.00020328918567795727,,0.6046783625730994,,0.2,,0.05730994152046784,0.21950800916497779,0.17756995694071462,0.028070175438596492,0.16527004298151568,0.017543859649122806,0.13136306707967735,0.00980392156862745,0.049368145902318854,0.8586997708696693,0.020618859170871806,,0.021052631578947323,,0.024561403508771895,,0.012865497076023392,0.0023391812865497076,0.18181818181818182,0.1473106669304539,0.9570091297815786,0.8088883410712574,0.46272475379703115,0.6100843004940544,0.11105709375651472
poker-8-9_vs_5,0.9996474230028076,0.0005667666375583015,0.7001271214715413,,1.0,,1.0,,1.0,,0.03132530120481928,0.24548695586365832,0.09835270405099794,0.019759036144578312,0.13920472480812784,0.018313253012048194,0.13411392914645506,0.01,0.02169971080891868,0.9650766148933082,0.011904956251129195,,0.012048192771084376,,0.014457831325301207,,0.004819277108433735,0.002891566265060241,0.6,0.09408443883267346,0.9756133828996283,0.8384199091447758,0.2892391374704095,0.7595458082550459,0.29715769846203477
